F.O_pressure,F.O_Temp_Celcius,Viscosity_cst
7.12,39,50
7.13,39,50
7.131,39,50
7.132,39,50
7.133,39,50
7.134,39,50
7.135,39,50
7.136,39,50
7.137,39,50
7.138,39,50
7.139,39,50
7.14,39,50
7.141,39,50
7.142,39,50
7.143,39,50
7.144,39,50
7.145,39,50
7.146,39,50
7.147,39,50
7.148,39,50
7.149,39,50
7.15,39,50
7.151,39,50
7.152,39,50
7.153,39,50
7.154,39,50
7.155,39,50
7.156,39,50
7.157,39,50
7.158,39,50
7.159,39,50
7.16,39,50
7.161,39,50
7.162,39.5,54
7.163,39.5,54
7.164,39.5,54
7.165,39.5,54
7.166,39.5,54
7.167,39.5,54
7.168,39.5,54
7.169,39.5,54
7.17,39.5,54
7.171,39.5,54
7.172,39.5,54
7.173,39.5,54
7.174,39.5,54
7.23,39.5,54
8.249333333,39.5,54
8.23,39.5,54
8.249333333,39.5,54
9.23,39.5,54
9.27,39.5,57
9.31,39.5,60
10,39.5,63
10,39.5,66
10,39.5,69
10,39.5,72
10,39.5,75
10,39.5,78
10,39.5,81
10,39.5,84
9,39.5,87
9.71,39.5,90
9.75,39.5,93
9.79,39.5,96
9.83,39.5,96
9.87,39.5,96
8.3,39.5,96
6.73,39.5,96
6.6,39.5,96
6.47,39.5,96
6.34,39.5,96
6.34,39.5,96
6.34,39.5,96
6.34,39.5,96
6.34,41.67,98.7
6.34,43.84,101.4
7.448833333,46.01,104.1
7.448833333,48.18,106.8
7.448833333,50.35,109.5
7.448833333,52.52,112.2
7.448833333,54.69,114.9
7.448833333,54.69,117.6
7.448833333,54.69,120.3
8.2,54.69,123
8.3,54.69,125.7
8.4,54.69,128.4
8.5,54.69,131.1
8.6,54.69,133.8
8.7,54.69,136.5
8.8,54.69,139.2
8.9,54.69,141.9
9,54.69,144.6
9.1,80,147.3
9.1,84,143
9.1,84,138.7
9.1,84,134.4
9.1,84,130.1
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
9.1,84,125.8
11.3,80,125.8
13.5,78.66666667,150
7.448833333,76.66666667,150
7.448833333,74.66666667,150
7.448833333,72.66666667,150
7.448833333,70.66666667,150
7.448833333,68.66666667,150
7.448833333,66.66666667,150
7.448833333,64.66666667,150
7.448833333,61.2,150
7.448833333,63.37,152.4
7.448833333,63.37,154.8
7.448833333,63.37,157.2
7.448833333,63.37,159.6
7.448833333,63.37,162
7.448833333,63.37,164.4
7.448833333,63.37,166.8
7.448833333,63.37,169.2
7.448833333,63.37,171.6
7.448833333,63.37,174
7.448833333,63.37,176.4
7.448833333,63.37,178.8
7.448833333,63.37,181.2
7.448833333,63.37,183.6
7.448833333,63.37,186
7.448833333,63.37,186
7.448833333,63.37,186
7.448833333,63.37,186
7.448833333,65.54,186
7.448833333,65.54,186
7.448833333,63,186
7.448833333,63,210
7.448833333,63,210
7.448833333,63,210
7.448833333,63,210
7.448833333,63,210
7.448833333,63,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,59,210
7.448833333,55,210
7.448833333,55,210
7.448833333,55,210
7.448833333,55,210
7.448833333,55,210
7.448833333,55,210
7.448833333,55,260
7.448833333,55,260
7.448833333,55,260
7.448833333,55,260
7.448833333,55,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
7.448833333,47,260
